timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
102,246=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,316=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,386=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,526=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,586=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,656=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,736=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,806=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,876=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,946=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,016=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,086=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,136=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,196=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,256=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,336=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,406=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,626=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,696=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,776=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,846=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,906=3,461=3,171=0,000=0,000=0,000=0,125=0,992
103,966=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,046=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,116=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,196=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,346=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,406=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,536=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,606=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,686=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,756=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,836=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,906=3,461=3,171=0,000=0,000=0,000=0,125=0,992
104,986=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,066=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,136=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,216=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,286=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,356=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,436=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,516=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,586=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,666=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,736=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,816=3,461=3,171=0,000=0,000=0,000=0,125=0,992
105,896=3,461=3,171=0,000=0,000=0,000=0,125=0,992
