timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
481,255=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
481,315=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
481,375=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
481,445=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
481,505=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
481,565=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
481,625=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
481,695=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
481,765=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
481,905=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
481,975=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
482,045=-2,802=0,598=0,000=0,000=0,000=-0,994=0,110
482,125=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
482,195=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
482,265=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
482,405=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
482,485=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
482,555=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
482,625=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
482,805=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
482,865=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
482,935=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
482,995=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
483,065=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
483,145=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
483,215=-2,802=0,597=0,000=0,000=0,000=-0,994=0,111
483,355=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
483,505=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
483,575=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
483,645=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
483,725=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
483,795=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
483,865=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
483,995=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
484,065=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
484,125=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
484,195=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
484,265=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
484,405=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
484,485=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
484,555=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
484,625=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
484,695=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
484,765=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
484,905=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
484,975=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
485,045=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
485,115=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
485,265=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
485,335=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
485,405=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
485,465=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
485,525=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
485,595=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
485,655=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
485,705=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
485,765=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
485,835=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
485,895=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
485,955=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
486,025=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
486,095=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
486,165=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
486,235=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
486,295=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
486,355=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
486,435=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
486,605=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
486,655=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
486,735=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
486,785=-2,802=0,598=0,000=0,000=0,000=-0,994=0,110
486,835=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
486,875=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
486,915=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
486,965=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
487,025=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
487,075=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
487,135=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
487,395=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
487,455=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
487,505=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
487,565=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
487,625=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
487,675=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
487,715=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
487,765=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
487,805=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
487,865=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
487,915=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
487,965=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
488,025=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
488,075=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
488,245=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
488,305=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
488,365=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
488,415=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
488,475=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
488,595=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
488,655=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
488,715=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
488,765=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
488,815=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
488,875=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
488,935=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
489,045=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
489,115=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
489,165=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
489,235=-2,802=0,598=0,000=0,000=0,000=-0,994=0,110
489,345=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
489,395=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
